time_ms,gid,population
933.325000001304,262,unknown
933.3750000013042,371,unknown
933.5000000013047,321,unknown
933.6500000013052,239,unknown
933.6750000013053,343,unknown
933.6782162970665,12,unknown
933.7750000013057,231,unknown
934.0500000013067,383,unknown
934.125000001307,238,unknown
934.150000001307,235,unknown
934.2000000013072,250,unknown
934.3750000013079,206,unknown
934.400000001308,259,unknown
934.6799163135831,11,unknown
934.95000000131,204,unknown
935.1000000013105,210,unknown
935.1000000013105,354,unknown
935.2000000013109,214,unknown
935.225000001311,233,unknown
935.4500000013118,211,unknown
935.4500000013118,234,unknown
935.4500000013118,349,unknown
935.500000001312,242,unknown
935.7250000013128,302,unknown
935.8500000013132,335,unknown
935.8921306846919,55,unknown
935.8921306846919,135,unknown
935.9250000013135,277,unknown
936.0756146809715,140,unknown
936.0756146809715,60,unknown
936.1013130197105,10,unknown
936.1250000013142,230,unknown
936.2750000013148,357,unknown
936.5750000013159,205,unknown
936.5750000013159,283,unknown
936.600000001316,284,unknown
936.7500000013165,376,unknown
936.875000001317,217,unknown
936.9101775648137,1,unknown
937.2000000013181,281,unknown
937.3500000013187,352,unknown
937.5000000013192,337,unknown
937.5500000013194,306,unknown
937.5500000013194,326,unknown
937.72500000132,359,unknown
937.7500000013201,364,unknown
937.8500000013205,203,unknown
937.8750000013206,347,unknown
937.9000000013207,261,unknown
937.9000000013207,288,unknown
938.0500000013212,379,unknown
938.1000000013214,251,unknown
938.1000000013214,271,unknown
938.3750000013224,255,unknown
938.4250000013226,353,unknown
938.6250000013233,285,unknown
938.7250000013237,286,unknown
938.780645068108,114,unknown
938.780645068108,194,unknown
938.8500000013241,319,unknown
938.9500000013245,287,unknown
939.0250000013248,358,unknown
939.0250000013248,360,unknown
939.1250000013251,341,unknown
939.1500000013252,381,unknown
939.2250000013255,280,unknown
939.375000001326,279,unknown
939.4250000013262,294,unknown
939.5887260406404,25,unknown
939.650000001327,290,unknown
939.8500000013278,369,unknown
939.925000001328,365,unknown
939.925000001328,399,unknown
939.9750000013282,206,unknown
940.1250000013288,325,unknown
940.175000001329,298,unknown
940.3750000013297,312,unknown
940.47500000133,342,unknown
940.5500000013303,368,unknown
940.6000000013305,315,unknown
940.6500000013307,367,unknown
940.8250000013313,313,unknown
940.8500000013314,254,unknown
940.8500000013314,334,unknown
940.8750000013315,310,unknown
940.9500000013318,355,unknown
941.0959766016023,9,unknown
941.1000000013323,332,unknown
941.1750000013326,378,unknown
941.2250000013328,282,unknown
941.2250000013328,362,unknown
941.3750000013333,350,unknown
941.5250000013339,372,unknown
941.6750000013344,323,unknown
941.7750000013348,223,unknown
942.0750000013359,277,unknown
942.0750000013359,308,unknown
942.100000001336,250,unknown
942.2250000013364,336,unknown
942.3250000013368,373,unknown
942.4500000013372,262,unknown
942.5250000013375,408,unknown
942.5750000013377,314,unknown
942.6250000013379,406,unknown
942.650000001338,248,unknown
942.7000000013381,296,unknown
942.7000000013381,311,unknown
942.8500000013387,236,unknown
943.0250000013393,301,unknown
943.0750000013395,316,unknown
943.1000000013396,333,unknown
943.1250000013397,291,unknown
943.1250000013397,303,unknown
943.1250000013397,307,unknown
943.1500000013398,345,unknown
943.22500000134,380,unknown
943.500000001341,320,unknown
943.6000000013414,232,unknown
943.9500000013427,271,unknown
943.9750000013428,329,unknown
944.0000000013429,317,unknown
944.050000001343,304,unknown
944.050000001343,318,unknown
944.1250000013433,247,unknown
944.1750000013435,243,unknown
944.325000001344,259,unknown
944.4000000013443,400,unknown
944.5500000013449,340,unknown
944.575000001345,330,unknown
944.6212628045351,67,unknown
944.6212628045351,147,unknown
944.6500000013452,289,unknown
944.7250000013455,217,unknown
944.9250000013462,324,unknown
944.9500000013463,309,unknown
944.9750000013464,407,unknown
945.0500000013467,356,unknown
945.125000001347,261,unknown
945.125000001347,371,unknown
945.3250000013477,206,unknown
945.3750000013479,346,unknown
945.5000000013483,292,unknown
945.5000000013483,339,unknown
945.5000000013483,351,unknown
945.6250000013488,383,unknown
