g_pas,gnabar,gkbar,amp_nA,spikecount,AP_amplitude_mV,AP_width_ms,voltage_base_mV,mean_frequency_Hz,vmax_mV,vend_mV,good_candidate
3e-06,0.08,0.04,0.05,0.0,,,-72.42547181041866,,-65.0,-72.43173896847216,False
3e-06,0.08,0.04,0.1,0.0,,,-72.42547181041789,,-65.0,-72.42913038093305,False
3e-06,0.08,0.04,0.15,0.0,,,-72.42547181041714,,-64.36400081395037,-72.42748009165851,False
3e-06,0.08,0.04,0.2,0.0,,,-72.4254718104164,,-63.08354892506308,-72.42625774992865,False
3e-06,0.08,0.08,0.02,0.0,,,-73.69624289556029,,-65.0,-73.703273228438,False
3e-06,0.08,0.08,0.05,0.0,,,-73.69624289555985,,-65.0,-73.70183035077702,False
3e-06,0.08,0.08,0.1,0.0,,,-73.6962428955591,,-65.0,-73.70044022698013,False
3e-06,0.08,0.08,0.15,0.0,,,-73.69624289555833,,-65.0,-73.69952943057035,False
3e-06,0.08,0.08,0.2,0.0,,,-73.69624289555757,,-65.0,-73.69884458858756,False
3e-06,0.12,0.005,0.02,1.0,,3.4000000000000483,-31.86785246358724,0.0,27.914773091055217,-31.86679145053744,False
3e-06,0.12,0.005,0.05,1.0,,3.4000000000000483,-31.867852463586807,0.0,27.914773091055217,-31.866788002534417,False
3e-06,0.12,0.005,0.1,1.0,,3.4000000000000483,-31.867852463586082,0.0,27.914773091055217,-31.86678246530586,False
3e-06,0.12,0.005,0.15,1.0,,3.4000000000000483,-31.867852463585358,0.0,27.914773091055217,-31.866777167668594,False
3e-06,0.12,0.005,0.2,1.0,,3.4000000000000483,-31.86785246358463,0.0,27.914773091055217,-31.866771735274362,False
3e-06,0.12,0.01,0.02,18.0,63.512394726116405,2.2722222222218864,-65.04029549998265,24.23263327947532,19.005079023171387,-60.44426097987331,True
3e-06,0.12,0.01,0.05,23.0,62.21709316705431,2.2565217391302808,-65.0402954999822,34.92911444420497,22.57956760108887,-59.0002956442523,True
3e-06,0.12,0.01,0.1,28.0,58.923544633819624,2.210714285714236,-65.04029549998144,44.92546457013063,26.064385150933816,-59.031988060662734,True
3e-06,0.12,0.01,0.15,32.0,55.361733621065234,2.1500000000000004,-65.04029549998069,51.7920033146716,28.01478279012948,-60.112034724719784,False
3e-06,0.12,0.01,0.2,34.0,51.976272272301294,2.088235294117674,-65.04029549997993,57.22460658081147,29.291240973587072,-54.578868259717105,False
