time_ms soma_mV AIS_mV
740.550000 -73.539337 -73.538708
740.575000 -73.539237 -73.538608
740.600000 -73.539137 -73.538507
740.625000 -73.539037 -73.538407
740.650000 -73.538937 -73.538307
740.675000 -73.538837 -73.538207
740.700000 -73.538737 -73.538107
740.725000 -73.538636 -73.538007
740.750000 -73.538536 -73.537907
740.775000 -73.538436 -73.537807
740.800000 -73.538336 -73.537707
740.825000 -73.538236 -73.537607
740.850000 -73.538136 -73.537507
740.875000 -73.538036 -73.537406
740.900000 -73.537936 -73.537306
740.925000 -73.537836 -73.537206
740.950000 -73.537736 -73.537106
740.975000 -73.537635 -73.537006
741.000000 -73.537535 -73.536906
741.025000 -73.537435 -73.536806
741.050000 -73.537335 -73.536705
741.075000 -73.537235 -73.536605
741.100000 -73.537135 -73.536505
741.125000 -73.537035 -73.536405
741.150000 -73.536934 -73.536305
741.175000 -73.536834 -73.536204
741.200000 -73.536734 -73.536104
741.225000 -73.536634 -73.536004
741.250000 -73.536534 -73.535904
741.275000 -73.536434 -73.535804
741.300000 -73.536333 -73.535703
741.325000 -73.536233 -73.535603
741.350000 -73.536133 -73.535503
741.375000 -73.536033 -73.535403
741.400000 -73.535932 -73.535303
741.425000 -73.535832 -73.535202
741.450000 -73.535732 -73.535102
741.475000 -73.535632 -73.535002
741.500000 -73.535532 -73.534902
741.525000 -73.535431 -73.534801
741.550000 -73.535331 -73.534701
741.575000 -73.535231 -73.534601
741.600000 -73.535131 -73.534500
741.625000 -73.535030 -73.534400
741.650000 -73.534930 -73.534300
741.675000 -73.534830 -73.534200
741.700000 -73.534729 -73.534099
741.725000 -73.534629 -73.533999
741.750000 -73.534529 -73.533899
741.775000 -73.534429 -73.533798
741.800000 -73.534328 -73.533698
741.825000 -73.534228 -73.533598
741.850000 -73.534128 -73.533497
741.875000 -73.534027 -73.533397
741.900000 -73.533927 -73.533297
741.925000 -73.533827 -73.533196
741.950000 -73.533726 -73.533096
741.975000 -73.533626 -73.532996
742.000000 -73.533526 -73.532895
742.025000 -73.533425 -73.532795
742.050000 -73.533325 -73.532695
742.075000 -73.533225 -73.532594
742.100000 -73.533124 -73.532494
742.125000 -73.533024 -73.532393
742.150000 -73.532923 -73.532293
742.175000 -73.532823 -73.532193
742.200000 -73.532723 -73.532092
742.225000 -73.532622 -73.531992
742.250000 -73.532522 -73.531891
742.275000 -73.532421 -73.531791
742.300000 -73.532321 -73.531690
742.325000 -73.532221 -73.531590
742.350000 -73.532120 -73.531490
742.375000 -73.532020 -73.531389
742.400000 -73.531919 -73.531289
742.425000 -73.531819 -73.531188
742.450000 -73.531718 -73.531088
742.475000 -73.531618 -73.530987
742.500000 -73.531518 -73.530887
742.525000 -73.531417 -73.530786
742.550000 -73.531317 -73.530686
742.575000 -73.531216 -73.530585
742.600000 -73.531116 -73.530485
742.625000 -73.531015 -73.530384
742.650000 -73.530915 -73.530284
742.675000 -73.530814 -73.530183
742.700000 -73.530714 -73.530083
742.725000 -73.530613 -73.529982
742.750000 -73.530513 -73.529882
742.775000 -73.530412 -73.529781
742.800000 -73.530312 -73.529681
742.825000 -73.530211 -73.529580
742.850000 -73.530111 -73.529480
742.875000 -73.530010 -73.529379
742.900000 -73.529910 -73.529279
742.925000 -73.529809 -73.529178
742.950000 -73.529709 -73.529078
742.975000 -73.529608 -73.528977
743.000000 -73.529508 -73.528876
