time_ms soma_mV AIS_mV
576.400000 -49.865106 -49.472568
576.425000 -49.847397 -49.452952
576.450000 -49.829618 -49.433251
576.475000 -49.811768 -49.413465
576.500000 -49.793848 -49.393593
576.525000 -49.775855 -49.373634
576.550000 -49.757791 -49.353588
576.575000 -49.739654 -49.333454
576.600000 -49.721443 -49.313231
576.625000 -49.703159 -49.292920
576.650000 -49.684800 -49.272518
576.675000 -49.666367 -49.252026
576.700000 -49.647857 -49.231443
576.725000 -49.629272 -49.210769
576.750000 -49.610610 -49.190001
576.775000 -49.591871 -49.169141
576.800000 -49.573054 -49.148186
576.825000 -49.554158 -49.127138
576.850000 -49.535184 -49.105991
576.875000 -49.516129 -49.084744
576.900000 -49.496993 -49.063393
576.925000 -49.477774 -49.041933
576.950000 -49.458472 -49.020365
576.975000 -49.439085 -48.998686
577.000000 -49.419613 -48.976896
577.025000 -49.400052 -48.954988
577.050000 -49.380403 -48.932963
577.075000 -49.360664 -48.910819
577.100000 -49.340834 -48.888554
577.125000 -49.320912 -48.866169
577.150000 -49.300895 -48.843662
577.175000 -49.280784 -48.821030
577.200000 -49.260577 -48.798272
577.225000 -49.240272 -48.775385
577.250000 -49.219867 -48.752369
577.275000 -49.199362 -48.729222
577.300000 -49.178756 -48.705944
577.325000 -49.158046 -48.682533
577.350000 -49.137233 -48.658989
577.375000 -49.116314 -48.635310
577.400000 -49.095289 -48.611493
577.425000 -49.074155 -48.587538
577.450000 -49.052912 -48.563442
577.475000 -49.031557 -48.539205
577.500000 -49.010090 -48.514824
577.525000 -48.988509 -48.490299
577.550000 -48.966813 -48.465628
577.575000 -48.945000 -48.440809
577.600000 -48.923069 -48.415840
577.625000 -48.901020 -48.390722
577.650000 -48.878849 -48.365451
577.675000 -48.856557 -48.340027
577.700000 -48.834142 -48.314447
577.725000 -48.811603 -48.288711
577.750000 -48.788938 -48.262817
577.775000 -48.766145 -48.236762
577.800000 -48.743225 -48.210546
577.825000 -48.720175 -48.184167
577.850000 -48.696993 -48.157623
577.875000 -48.673679 -48.130908
577.900000 -48.650230 -48.104017
577.925000 -48.626645 -48.076944
577.950000 -48.602920 -48.049683
577.975000 -48.579053 -48.022231
578.000000 -48.555042 -47.994585
578.025000 -48.530886 -47.966744
578.050000 -48.506580 -47.938696
578.075000 -48.482123 -47.910442
578.100000 -48.457511 -47.881977
578.125000 -48.432743 -47.853299
578.150000 -48.407816 -47.824407
578.175000 -48.382728 -47.795297
578.200000 -48.357475 -47.765964
578.225000 -48.332055 -47.736403
578.250000 -48.306466 -47.706612
578.275000 -48.280703 -47.676588
578.300000 -48.254765 -47.646327
578.325000 -48.228649 -47.615827
578.350000 -48.202352 -47.585085
578.375000 -48.175872 -47.554098
578.400000 -48.149205 -47.522863
578.425000 -48.122350 -47.491374
578.450000 -48.095301 -47.459629
578.475000 -48.068057 -47.427623
578.500000 -48.040614 -47.395352
578.525000 -48.012970 -47.362813
578.550000 -47.985120 -47.330002
578.575000 -47.957062 -47.296915
578.600000 -47.928793 -47.263549
578.625000 -47.900310 -47.229898
578.650000 -47.871609 -47.195960
578.675000 -47.842688 -47.161724
578.700000 -47.813541 -47.127179
578.725000 -47.784164 -47.092315
578.750000 -47.754553 -47.057120
578.775000 -47.724702 -47.021590
578.800000 -47.694608 -46.985719
578.825000 -47.664265 -46.949498
578.850000 -47.633667 -46.912912
578.875000 -47.602811 -46.875957
578.900000 -47.571689 -46.838626
578.925000 -47.540297 -46.800914
578.950000 -47.508631 -46.762813
578.975000 -47.476684 -46.724319
579.000000 -47.444450 -46.685416
579.025000 -47.411924 -46.646098
579.050000 -47.379100 -46.606358
579.075000 -47.345971 -46.566188
579.100000 -47.312531 -46.525580
579.125000 -47.278776 -46.484528
579.150000 -47.244697 -46.443022
579.175000 -47.210291 -46.401057
579.200000 -47.175549 -46.358621
579.225000 -47.140466 -46.315705
579.250000 -47.105033 -46.272299
579.275000 -47.069244 -46.228394
579.300000 -47.033090 -46.183962
579.325000 -46.996562 -46.138992
579.350000 -46.959652 -46.093456
579.375000 -46.922348 -46.047339
579.400000 -46.884642 -46.000630
579.425000 -46.846524 -45.953316
579.450000 -46.807983 -45.905367
579.475000 -46.769007 -45.856767
579.500000 -46.729587 -45.807504
579.525000 -46.689710 -45.757561
579.550000 -46.649366 -45.706925
579.575000 -46.608544 -45.655581
579.600000 -46.567231 -45.603502
579.625000 -46.525414 -45.550670
579.650000 -46.483081 -45.497067
579.675000 -46.440218 -45.442675
579.700000 -46.396812 -45.387475
579.725000 -46.352850 -45.331449
579.750000 -46.308319 -45.274575
579.775000 -46.263201 -45.216808
579.800000 -46.217481 -45.158116
579.825000 -46.171137 -45.098451
579.850000 -46.124151 -45.037783
579.875000 -46.076503 -44.976085
579.900000 -46.028172 -44.913317
579.925000 -45.979136 -44.849433
579.950000 -45.929372 -44.784399
579.975000 -45.878857 -44.718183
580.000000 -45.827570 -44.650751
580.025000 -45.775486 -44.582067
580.050000 -45.722579 -44.512085
580.075000 -45.668824 -44.440757
580.100000 -45.614194 -44.368042
580.125000 -45.558658 -44.293878
580.150000 -45.502185 -44.218196
580.175000 -45.444740 -44.140917
580.200000 -45.386289 -44.061976
580.225000 -45.326795 -43.981314
580.250000 -45.266217 -43.898860
580.275000 -45.204514 -43.814515
580.300000 -45.141640 -43.728208
580.325000 -45.077550 -43.639865
580.350000 -45.012198 -43.549412
580.375000 -44.945536 -43.456770
580.400000 -44.877511 -43.361817
580.425000 -44.808063 -43.264415
580.450000 -44.737129 -43.164421
580.475000 -44.664642 -43.061707
580.500000 -44.590535 -42.956156
580.525000 -44.514734 -42.847622
580.550000 -44.437161 -42.735938
580.575000 -44.357735 -42.620959
580.600000 -44.276369 -42.502527
580.625000 -44.192967 -42.380425
580.650000 -44.107427 -42.254423
580.675000 -44.019631 -42.124228
580.700000 -43.929460 -41.989618
580.725000 -43.836787 -41.850357
580.750000 -43.741476 -41.706120
580.775000 -43.643382 -41.556633
580.800000 -43.542346 -41.401511
580.825000 -43.438195 -41.240360
580.850000 -43.330736 -41.072726
580.875000 -43.219759 -40.898169
580.900000 -43.105042 -40.716188
580.925000 -42.986338 -40.526191
580.950000 -42.863378 -40.327543
580.975000 -42.735868 -40.119520
581.000000 -42.603492 -39.901450
581.025000 -42.465894 -39.672451
581.050000 -42.322669 -39.431435
581.075000 -42.173372 -39.177294
581.100000 -42.017525 -38.908949
581.125000 -41.854594 -38.625036
581.150000 -41.683966 -38.323824
581.175000 -41.504955 -38.003590
581.200000 -41.316806 -37.662457
581.225000 -41.118649 -37.297901
581.250000 -40.909510 -36.907371
581.275000 -40.688286 -36.487867
581.300000 -40.453704 -36.035732
581.325000 -40.204321 -35.546974
581.350000 -39.938477 -35.016738
581.375000 -39.654257 -34.439582
581.400000 -39.349443 -33.808893
581.425000 -39.021486 -33.117258
581.450000 -38.667419 -32.355905
581.475000 -38.283790 -31.514415
581.500000 -37.866585 -30.580897
581.525000 -37.411163 -29.541621
581.550000 -36.912128 -28.380794
581.575000 -36.363304 -27.080942
581.600000 -35.757685 -25.623157
581.625000 -35.087453 -23.987898
581.650000 -34.344149 -22.156890
581.675000 -33.519027 -20.116014
581.700000 -32.603647 -17.859079
581.725000 -31.590825 -15.393581
581.750000 -30.475820 -12.745356
581.775000 -29.257642 -9.962036
581.800000 -27.940134 -7.112058
581.825000 -26.532478 -4.278307
581.850000 -25.048826 -1.546260
581.875000 -23.507088 1.008807
581.900000 -21.927295 3.330978
581.925000 -20.330014 5.386478
581.950000 -18.734931 7.163594
581.975000 -17.159973 8.667257
582.000000 -15.620864 9.913401
582.025000 -14.130928 10.924524
582.050000 -12.701081 11.725680
582.075000 -11.339995 12.342060
582.100000 -10.054216 12.797606
582.125000 -8.848361 13.114179
582.150000 -7.725320 13.311261
582.175000 -6.686462 13.405940
582.200000 -5.731820 13.413174
582.225000 -4.860301 13.345891
582.250000 -4.069878 13.215293
582.275000 -3.357800 13.031005
582.300000 -2.720736 12.801399
582.325000 -2.154966 12.533651
582.350000 -1.656497 12.233992
582.375000 -1.221188 11.907811
582.400000 -0.844860 11.559729
582.425000 -0.523361 11.193777
582.450000 -0.252635 10.813411
582.475000 -0.028765 10.421634
582.500000 0.151993 10.021020
582.525000 0.293186 9.613797
582.550000 0.398157 9.201878
582.575000 0.470032 8.786905
582.600000 0.511727 8.370283
582.625000 0.525944 7.953221
582.650000 0.515185 7.536742
582.675000 0.481756 7.121718
582.700000 0.427778 6.708884
582.725000 0.355200 6.298864
582.750000 0.265810 5.892179
582.775000 0.161243 5.489261
582.800000 0.042996 5.090468
582.825000 -0.087567 4.696085
582.850000 -0.229197 4.306346
582.875000 -0.380757 3.921433
582.900000 -0.541209 3.541487
582.925000 -0.709610 3.166609
582.950000 -0.885099 2.796867
582.975000 -1.066894 2.432305
583.000000 -1.254283 2.072939
583.025000 -1.446617 1.718770
583.050000 -1.643308 1.369775
583.075000 -1.843822 1.025917
583.100000 -2.047673 0.687154
583.125000 -2.254419 0.353425
583.150000 -2.463660 0.024661
583.175000 -2.675034 -0.299211
583.200000 -2.888212 -0.618272
583.225000 -3.102895 -0.932607
583.250000 -3.318815 -1.242307
583.275000 -3.535727 -1.547466
583.300000 -3.753410 -1.848175
583.325000 -3.971664 -2.144533
583.350000 -4.190312 -2.436640
583.375000 -4.409190 -2.724594
583.400000 -4.628153 -3.008488
583.425000 -4.847069 -3.288427
583.450000 -5.065822 -3.564510
583.475000 -5.284305 -3.836825
583.500000 -5.502425 -4.105472
583.525000 -5.720098 -4.370550
583.550000 -5.937247 -4.632149
583.575000 -6.153808 -4.890355
583.600000 -6.369720 -5.145264
583.625000 -6.584932 -5.396967
583.650000 -6.799398 -5.645541
583.675000 -7.013079 -5.891073
583.700000 -7.225938 -6.133648
583.725000 -7.437947 -6.373350
583.750000 -7.649078 -6.610247
583.775000 -7.859310 -6.844415
583.800000 -8.068624 -7.075937
583.825000 -8.277005 -7.304886
583.850000 -8.484440 -7.531323
583.875000 -8.690918 -7.755314
583.900000 -8.896432 -7.976931
583.925000 -9.100976 -8.196244
583.950000 -9.304546 -8.413312
583.975000 -9.507139 -8.628183
584.000000 -9.708755 -8.840921
584.025000 -9.909393 -9.051589
584.050000 -10.109055 -9.260244
584.075000 -10.307745 -9.466932
584.100000 -10.505465 -9.671699
584.125000 -10.702218 -9.874599
584.150000 -10.898012 -10.075688
584.175000 -11.092850 -10.275013
584.200000 -11.286740 -10.472610
584.225000 -11.479686 -10.668519
584.250000 -11.671696 -10.862788
584.275000 -11.862778 -11.055464
584.300000 -12.052940 -11.246588
584.325000 -12.242188 -11.436190
584.350000 -12.430530 -11.624303
584.375000 -12.617975 -11.810966
584.400000 -12.804530 -11.996221
584.425000 -12.990204 -12.180105
584.450000 -13.175007 -12.362645
584.475000 -13.358944 -12.543865
584.500000 -13.542026 -12.723797
584.525000 -13.724260 -12.902477
584.550000 -13.905654 -13.079937
584.575000 -14.086218 -13.256206
584.600000 -14.265959 -13.431306
584.625000 -14.444887 -13.605257
584.650000 -14.623008 -13.778089
