time_ms,normal_SDH_mV,neuropathic_like_SDH_mV
568.4249999998765,-66.37963877477615,-64.88082350487372
568.4499999998766,-66.37994142407105,-64.88139708733871
568.4749999998767,-66.3802440137415,-64.88197058673562
568.4999999998768,-66.38054654379584,-64.8825440030661
568.5249999998769,-66.38084901424243,-64.88311733633182
568.549999999877,-66.38115142508958,-64.88369058653446
568.574999999877,-66.38145377634565,-64.88426375367567
568.5999999998771,-66.38175606801897,-64.88483683775712
568.6249999998772,-66.38205830011789,-64.8854098387805
568.6499999998773,-66.38236047265075,-64.8859827567475
568.6749999998774,-66.38266258562588,-64.88655559165977
568.6999999998775,-66.38296463905164,-64.88712834351902
568.7249999998776,-66.38326663293635,-64.88770101232694
568.7499999998777,-66.38356856728838,-64.88827359808522
568.7749999998778,-66.38387044211605,-64.88884610079555
568.7999999998779,-66.38417225742771,-64.88941852045963
568.824999999878,-66.38447401323171,-64.88999085707917
568.849999999878,-66.38477570953638,-64.89056311065588
568.8749999998781,-66.38507734635009,-64.89113528119145
568.8999999998782,-66.38537892368116,-64.89170736868762
568.9249999998783,-66.38568044153794,-64.89227937314608
568.9499999998784,-66.38598189992878,-64.89285129456857
568.9749999998785,-66.38628329886201,-64.8934231329568
568.9999999998786,-66.386584638346,-64.89399488831249
569.0249999998787,-66.38688591838907,-64.89456656063739
569.0499999998788,-66.38718713899958,-64.89513814993322
569.0749999998789,-66.38748830018586,-64.89570965620172
569.099999999879,-66.38778940195628,-64.89628107944462
569.124999999879,-66.38809044431918,-64.89685241966367
569.1499999998791,-66.3883914272829,-64.89742367686063
569.1749999998792,-66.38869235085579,-64.89799485103723
569.1999999998793,-66.3889932150462,-64.89856594219522
569.2249999998794,-66.38929401986248,-64.89913695033636
569.2499999998795,-66.38959476531296,-64.89970787546241
569.2749999998796,-66.389895451406,-64.90027871757513
569.2999999998797,-66.39019607814996,-64.9008494766763
569.3249999998798,-66.39049664555317,-64.90142015276767
569.3499999998799,-66.39079715362399,-64.90199074585101
