grid,BA_density,KDR_scale,soma_BNa,valid,reject_reason,RMP_mV,Rin_GOhm,rheobase_pA,overshoot_mV,half_width_ms,amplitude_mV,n_ap_targets_failed,total_ap_error,overshoot_err,half_width_err,amplitude_err
approachA_full_axon,0.005,1.5,0.06,False,"rheobase 80 outside (20.0, 60.0)",-72.42215697341152,0.8906079646896472,80,34.485503704502534,1.3499999999987722,77.90050913041654,2,0.9571979259533323,0.17942014818010135,0.777777777773231,0.0
approachA_full_axon,0.005,2.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.47830161986326,0.886289858306742,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.005,2.0,0.05,False,"rheobase 80 outside (20.0, 60.0)",-72.45275879608148,0.888222682294375,80,29.61687233044882,1.324999999998795,72.04245822287403,1,0.6851851851807226,0.0,0.6851851851807226,0.0
approachA_full_axon,0.005,2.0,0.06,False,"rheobase 80 outside (20.0, 60.0)",-72.42696898836758,0.8901742858230491,80,34.20606048408215,1.2999999999988177,77.36151816554087,2,0.7608350119515002,0.16824241936328604,0.5925925925882141,0.0
approachA_full_axon,0.01,1.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.51233329201625,0.8831248341715181,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.01,1.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.4872595056186,0.8850165242783461,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.01,1.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.46194725322694,0.8869263634500115,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.01,1.5,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.51694162923583,0.8827082945851416,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.01,1.5,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.49191631307345,0.8845960418836256,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.01,1.5,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.46665363461841,0.8865018635157057,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.01,2.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.52153962778914,0.8822926198730116,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.01,2.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.49656251044662,0.8841764432561874,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.01,2.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.47134909863667,0.8860782698211154,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.02,1.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.59571362991029,0.8754109324301738,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.02,1.0,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.57170692502073,0.8772098178378428,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.02,1.0,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.54748097239116,0.8790254318084948,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.02,1.5,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.60011436571558,0.875012592575402,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.02,1.5,0.05,False,"rheobase nan outside (20.0, 60.0)",-72.57615200099518,0.8768078357255362,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.02,1.5,0.06,False,"rheobase nan outside (20.0, 60.0)",-72.5519710955092,0.8786197625008327,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
approachA_full_axon,0.02,2.0,0.04,False,"rheobase nan outside (20.0, 60.0)",-72.60450560579581,0.8746150574123476,nan,nan,nan,nan,3,3.0,1.0,1.0,1.0
