variant,section,mechanism,parameter,old_value,new_value
B_CaL_ModelDB_scale_1p0,dend[57],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[58],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[59],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[60],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[61],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[62],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[63],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[64],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[65],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[66],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[66],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[66],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[66],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[66],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[67],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[67],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[67],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[68],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[69],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[70],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[71],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[72],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[73],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[73],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[73],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[74],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[75],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[75],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[75],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[75],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[75],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[76],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[77],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[78],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[79],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[80],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[80],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[80],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[81],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
B_CaL_ModelDB_scale_1p0,dend[81],iCaL,pcabar_iCaL,3.7500000000000003e-05,3.0000000000000004e-05
