variant,section,mechanism,parameter,old_value,new_value
E_CaL_and_iNaP_removed,dend[88],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[88],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[89],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[90],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[91],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[91],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[91],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[92],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[93],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[94],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[95],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[96],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[96],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[96],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[96],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[96],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[96],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[96],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[97],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[98],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[98],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[98],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[98],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[98],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[99],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[100],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[100],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[100],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[101],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[101],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[101],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[102],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[102],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[102],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[102],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[102],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[103],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[103],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[103],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[104],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[104],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[104],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[105],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[105],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[105],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[106],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[106],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
E_CaL_and_iNaP_removed,dend[106],iCaL,pcabar_iCaL,3.7500000000000003e-05,0.0
