condition,temperature_C,current_pA,time_ms,voltage_mV
reference_rheobase_20pA,23.0,20.0,11.099999999999904,-59.317174148486636
reference_rheobase_20pA,23.0,20.0,11.199999999999898,-59.313370157327164
reference_rheobase_20pA,23.0,20.0,11.299999999999892,-59.309601690212816
reference_rheobase_20pA,23.0,20.0,11.399999999999887,-59.30586854982019
reference_rheobase_20pA,23.0,20.0,11.499999999999881,-59.30217053842367
reference_rheobase_20pA,23.0,20.0,11.599999999999875,-59.298507457920536
reference_rheobase_20pA,23.0,20.0,11.69999999999987,-59.29487910985577
reference_rheobase_20pA,23.0,20.0,11.799999999999864,-59.29128529544643
reference_rheobase_20pA,23.0,20.0,11.899999999999858,-59.287725815605725
reference_rheobase_20pA,23.0,20.0,11.999999999999853,-59.284200470966724
reference_rheobase_20pA,23.0,20.0,12.099999999999847,-59.28070906190569
reference_rheobase_20pA,23.0,20.0,12.199999999999841,-59.27725138856517
reference_rheobase_20pA,23.0,20.0,12.299999999999836,-59.27382725087663
reference_rheobase_20pA,23.0,20.0,12.39999999999983,-59.270436448582885
reference_rheobase_20pA,23.0,20.0,12.499999999999824,-59.26707878126016
reference_rheobase_20pA,23.0,20.0,12.599999999999818,-59.263754048339806
reference_rheobase_20pA,23.0,20.0,12.699999999999813,-59.26046204912978
reference_rheobase_20pA,23.0,20.0,12.799999999999807,-59.25720258283577
reference_rheobase_20pA,23.0,20.0,12.899999999999801,-59.253975448582025
reference_rheobase_20pA,23.0,20.0,12.999999999999796,-59.250780445431964
reference_rheobase_20pA,23.0,20.0,13.09999999999979,-59.24761737240836
reference_rheobase_20pA,23.0,20.0,13.199999999999784,-59.24448602851335
reference_rheobase_20pA,23.0,20.0,13.299999999999779,-59.24138621274815
reference_rheobase_20pA,23.0,20.0,13.399999999999773,-59.23831772413243
reference_rheobase_20pA,23.0,20.0,13.499999999999767,-59.235280361723476
reference_rheobase_20pA,23.0,20.0,13.599999999999762,-59.23227392463507
reference_rheobase_20pA,23.0,20.0,13.699999999999756,-59.22929821205604
reference_rheobase_20pA,23.0,20.0,13.79999999999975,-59.22635302326864
reference_rheobase_20pA,23.0,20.0,13.899999999999745,-59.223438157666635
reference_rheobase_20pA,23.0,20.0,13.999999999999739,-59.22055341477304
reference_rheobase_20pA,23.0,20.0,14.099999999999733,-59.217698594257755
reference_rheobase_20pA,23.0,20.0,14.199999999999728,-59.214873495954805
reference_rheobase_20pA,23.0,20.0,14.299999999999722,-59.21207791987943
reference_rheobase_20pA,23.0,20.0,14.399999999999716,-59.20931166624484
reference_rheobase_20pA,23.0,20.0,14.49999999999971,-59.20657453547882
reference_rheobase_20pA,23.0,20.0,14.599999999999705,-59.20386632823999
reference_rheobase_20pA,23.0,20.0,14.699999999999699,-59.201186845433874
reference_rheobase_20pA,23.0,20.0,14.799999999999693,-59.19853588822874
reference_rheobase_20pA,23.0,20.0,14.899999999999688,-59.19591325807118
reference_rheobase_20pA,23.0,20.0,14.999999999999682,-59.19331875670144
reference_rheobase_20pA,23.0,20.0,15.099999999999676,-59.19075218616854
reference_rheobase_20pA,23.0,20.0,15.19999999999967,-59.18821334884516
reference_rheobase_20pA,23.0,20.0,15.299999999999665,-59.18570204744228
reference_rheobase_20pA,23.0,20.0,15.39999999999966,-59.18321808502358
reference_rheobase_20pA,23.0,20.0,15.499999999999654,-59.18076126501968
reference_rheobase_20pA,23.0,20.0,15.599999999999648,-59.17833139124207
reference_rheobase_20pA,23.0,20.0,15.699999999999642,-59.17592826789683
reference_rheobase_20pA,23.0,20.0,15.799999999999637,-59.1735516995982
reference_rheobase_20pA,23.0,20.0,15.89999999999963,-59.17120149138184
reference_rheobase_20pA,23.0,20.0,15.999999999999625,-59.16887744871792
reference_rheobase_20pA,23.0,20.0,16.09999999999962,-59.166579377523995
reference_rheobase_20pA,23.0,20.0,16.199999999999616,-59.164307084177615
reference_rheobase_20pA,23.0,20.0,16.29999999999961,-59.162060375528796
reference_rheobase_20pA,23.0,20.0,16.399999999999604,-59.15983905891221
reference_rheobase_20pA,23.0,20.0,16.4999999999996,-59.1576429421592
reference_rheobase_20pA,23.0,20.0,16.599999999999593,-59.155471833609575
reference_rheobase_20pA,23.0,20.0,16.699999999999587,-59.15332554212319
reference_rheobase_20pA,23.0,20.0,16.79999999999958,-59.15120387709134
reference_rheobase_20pA,23.0,20.0,16.899999999999576,-59.14910664844793
reference_rheobase_20pA,23.0,20.0,16.99999999999957,-59.14703366668045
reference_rheobase_20pA,23.0,20.0,17.099999999999564,-59.144984742840705
reference_rheobase_20pA,23.0,20.0,17.19999999999956,-59.142959688555436
reference_rheobase_20pA,23.0,20.0,17.299999999999553,-59.14095831603666
reference_rheobase_20pA,23.0,20.0,17.399999999999547,-59.13898043809182
reference_rheobase_20pA,23.0,20.0,17.49999999999954,-59.137025868133804
reference_rheobase_20pA,23.0,20.0,17.599999999999536,-59.135094420190654
reference_rheobase_20pA,23.0,20.0,17.69999999999953,-59.1331859089152
reference_rheobase_20pA,23.0,20.0,17.799999999999525,-59.13130014959442
reference_rheobase_20pA,23.0,20.0,17.89999999999952,-59.129436958158635
reference_rheobase_20pA,23.0,20.0,17.999999999999513,-59.127596151190524
reference_rheobase_20pA,23.0,20.0,18.099999999999508,-59.12577754593393
reference_rheobase_20pA,23.0,20.0,18.199999999999502,-59.12398096030249
reference_rheobase_20pA,23.0,20.0,18.299999999999496,-59.12220621288808
reference_rheobase_20pA,23.0,20.0,18.39999999999949,-59.12045312296907
reference_rheobase_20pA,23.0,20.0,18.499999999999485,-59.118721510518384
reference_rheobase_20pA,23.0,20.0,18.59999999999948,-59.11701119621142
reference_rheobase_20pA,23.0,20.0,18.699999999999473,-59.11532200143373
reference_rheobase_20pA,23.0,20.0,18.799999999999468,-59.113653748288556
reference_rheobase_20pA,23.0,20.0,18.899999999999462,-59.11200625960419
reference_rheobase_20pA,23.0,20.0,18.999999999999456,-59.11037935894117
reference_rheobase_20pA,23.0,20.0,19.09999999999945,-59.10877287059921
reference_rheobase_20pA,23.0,20.0,19.199999999999445,-59.107186619624116
reference_rheobase_20pA,23.0,20.0,19.29999999999944,-59.10562043181439
reference_rheobase_20pA,23.0,20.0,19.399999999999434,-59.10407413372769
reference_rheobase_20pA,23.0,20.0,19.499999999999428,-59.10254755268721
reference_rheobase_20pA,23.0,20.0,19.599999999999422,-59.10104051678777
reference_rheobase_20pA,23.0,20.0,19.699999999999417,-59.0995528549018
reference_rheobase_20pA,23.0,20.0,19.79999999999941,-59.09808439668519
reference_rheobase_20pA,23.0,20.0,19.899999999999405,-59.09663497258286
reference_rheobase_20pA,23.0,20.0,19.9999999999994,-59.095204413834345
reference_rheobase_20pA,23.0,20.0,20.099999999999394,-59.09379255247904
reference_rheobase_20pA,23.0,20.0,20.199999999999388,-59.09239922136138
reference_rheobase_20pA,23.0,20.0,20.299999999999383,-59.091024254135895
reference_rheobase_20pA,23.0,20.0,20.399999999999377,-59.08966748527197
reference_rheobase_20pA,23.0,20.0,20.49999999999937,-59.08832875005861
reference_rheobase_20pA,23.0,20.0,20.599999999999365,-59.08700788460895
