BNa_scale,CaAN_scale,CaL_scale,I-10_AIS_AP_peak_mV,I-10_AIS_AP_width_ms,I-10_AIS_ISI_CV,I-10_AIS_adaptation_ratio,I-10_AIS_latency_ms,I-10_AIS_spikes,I-10_RIN_GOhm,I-10_max_AIS_mV,I-10_max_soma_mV,I-10_recovery_soma_mV,I-10_soma_spikes,I0_AIS_AP_peak_mV,I0_AIS_AP_width_ms,I0_AIS_ISI_CV,I0_AIS_adaptation_ratio,I0_AIS_latency_ms,I0_AIS_spikes,I0_RIN_GOhm,I0_max_AIS_mV,I0_max_soma_mV,I0_recovery_soma_mV,I0_soma_spikes,I100_AIS_AP_peak_mV,I100_AIS_AP_width_ms,I100_AIS_ISI_CV,I100_AIS_adaptation_ratio,I100_AIS_latency_ms,I100_AIS_spikes,I100_RIN_GOhm,I100_max_AIS_mV,I100_max_soma_mV,I100_recovery_soma_mV,I100_soma_spikes,I120_AIS_AP_peak_mV,I120_AIS_AP_width_ms,I120_AIS_ISI_CV,I120_AIS_adaptation_ratio,I120_AIS_latency_ms,I120_AIS_spikes,I120_RIN_GOhm,I120_max_AIS_mV,I120_max_soma_mV,I120_recovery_soma_mV,I120_soma_spikes,I40_AIS_AP_peak_mV,I40_AIS_AP_width_ms,I40_AIS_ISI_CV,I40_AIS_adaptation_ratio,I40_AIS_latency_ms,I40_AIS_spikes,I40_RIN_GOhm,I40_max_AIS_mV,I40_max_soma_mV,I40_recovery_soma_mV,I40_soma_spikes,I60_AIS_AP_peak_mV,I60_AIS_AP_width_ms,I60_AIS_ISI_CV,I60_AIS_adaptation_ratio,I60_AIS_latency_ms,I60_AIS_spikes,I60_RIN_GOhm,I60_max_AIS_mV,I60_max_soma_mV,I60_recovery_soma_mV,I60_soma_spikes,I80_AIS_AP_peak_mV,I80_AIS_AP_width_ms,I80_AIS_ISI_CV,I80_AIS_adaptation_ratio,I80_AIS_latency_ms,I80_AIS_spikes,I80_RIN_GOhm,I80_max_AIS_mV,I80_max_soma_mV,I80_recovery_soma_mV,I80_soma_spikes,KCa_scale,KDR_scale,iNaP_scale,score
1.35,1.25,0.75,nan,nan,nan,nan,nan,0,0.7568929267983306,-72.64059572672785,-72.64135663845444,-75.3972733373849,0,nan,nan,nan,nan,nan,0,nan,-72.35433834562882,-72.35516494465375,-72.32257817725963,0,16.209165913531447,1.554166666666428,0.0017921478652926936,1.0000000000038292,55.69999999999533,6,nan,19.91554805935306,4.835125675465685,-72.53569304475374,6,16.41016213875209,1.5374999999997574,0.003435393468132255,0.9934619156595303,45.82500000000431,6,nan,21.49511699081364,5.911415102087391,-72.40983782581937,6,10.391095952271222,1.5999999999985448,nan,nan,156.82499999990335,2,nan,10.565339024140362,-1.4816024560993586,-65.81308993667663,2,14.021674116940513,1.5812500000003524,0.0017108841033944763,1.0041849342390066,97.22499999995756,4,nan,15.038031998489416,1.544571464064663,-72.01562247647115,4,15.60661504296309,1.5700000000000045,0.001866375892649169,1.0039900249403975,70.82499999998157,5,nan,17.855064726193504,3.4448295242135116,-71.79215754328926,5,0.75,0.45,0.5,729.0856219328612
1.35,1.5,0.75,nan,nan,nan,nan,nan,0,0.7544615183072678,-72.61422298868901,-72.61498944960677,-75.34749222155244,0,nan,nan,nan,nan,nan,0,nan,-72.2771637869097,-72.27800822728429,-72.23892939492963,0,16.396897715463314,1.5624999999997538,0.00180635653756504,1.0005841121532826,55.12499999999585,6,nan,20.07567559806422,4.9760982793275685,-72.4667074005872,6,16.575836057160945,1.5499999999997651,0.00330058442955339,0.9937745740505536,45.42500000000467,6,nan,21.60913315826781,6.027129234948735,-72.40551483286009,6,10.979722372086451,1.5999999999985448,nan,nan,152.5999999999072,2,nan,11.160717914664584,-1.0403915196876465,-66.23740780329018,2,14.319648449144232,1.5875000000003467,0.0020490031724317978,1.0050190724775288,95.649999999959,4,nan,15.337246235432486,1.7868387170321038,-71.74684537250862,4,15.822584009967695,1.575,0.002095119937690956,1.0047583270750182,69.94999999998237,5,nan,18.06641938231097,3.621027386857573,-71.58444815129387,5,0.75,0.45,0.75,727.1032914152222
1.25,0.75,0.5,nan,nan,nan,nan,nan,0,0.7615696521721163,-72.67286293534583,-72.67356103778637,-75.47499601833792,0,nan,nan,nan,nan,nan,0,nan,-72.44737550244011,-72.44812103095661,-72.42277820534835,0,14.022147920843038,1.5749999999997613,0.003635546543279886,0.9906976744224045,56.97499999999417,6,nan,17.920163998738087,3.5435342005624704,-72.17565108281416,6,14.23381007351699,1.554166666666428,0.004994780279807705,0.9875695125948296,46.8250000000034,6,nan,19.589021341392524,4.67268920701251,-72.05759196365118,6,7.266474070980122,1.5999999999985448,nan,nan,164.3749999998965,2,nan,7.491250645335829,-3.5201596866660942,-66.11236796572933,2,11.623013281576828,1.6000000000003638,0.0018312832724994585,0.9958636990372954,100.09999999995495,4,nan,12.688695428767637,0.029594297845736545,-72.11345654410898,4,13.375219151384504,1.5850000000000137,0.0027827190119253213,0.9933035714313623,72.59999999997996,5,nan,15.731084439062775,2.0722531631095356,-71.61062847468203,5,0.25,0.45,0.5,726.6412333810664
1.25,1.5,0.75,nan,nan,nan,nan,nan,0,0.7544289194765526,-72.61807852775553,-72.61878721957437,-75.35080363920585,0,nan,nan,nan,nan,nan,0,nan,-72.28859389944228,-72.28937308956029,-72.25134259042412,0,14.148849638272742,1.6083333333330831,0.0028725323428631165,0.9942112879922994,56.099999999994964,6,nan,18.148811596122478,3.762615954060472,-72.31340245397926,6,14.283096752651174,1.5999999999997574,0.005069800759766373,0.9883306320917045,46.225000000003945,6,nan,19.758754223148678,4.845243015120703,-72.0961164451575,6,8.897772508768943,1.6749999999984766,nan,nan,154.8999999999051,2,nan,9.08737703361834,-2.295268356096831,-65.73961717093434,2,12.152582973984456,1.6500000000003752,0.000864617531318625,1.0016016016037916,97.37499999995742,4,nan,13.257739768878633,0.49931747860329756,-71.6810777656965,4,13.632370536600344,1.625,0.0013805071219603977,0.9997511199629175,71.22499999998121,5,nan,16.067856523333464,2.368008553082187,-71.59075660978175,5,0.5,0.35,0.75,719.2448468397662
1.05,1.5,0.75,nan,nan,nan,nan,nan,0,0.7538014465197207,-72.57964274571363,-72.58024360873601,-75.30732961111289,0,nan,nan,nan,nan,nan,0,nan,-72.17245035164744,-72.1731252456466,-72.12405118827321,0,10.033939352345513,1.7083333333330681,0.00375454809806291,0.9914651493640682,56.69999999999442,6,nan,14.193081614876508,1.3882833918517772,-72.22985153680845,6,10.19550330245982,1.6958333333330604,0.005764016951075639,0.9856779121591993,46.85000000000338,6,nan,15.848714947462094,2.4960445670207445,-65.26826618214628,6,4.741466319504074,1.7749999999983856,nan,nan,153.0249999999068,2,nan,4.994758665249682,-4.770646035235375,-71.95741116197378,2,7.980406194597132,1.7437500000004036,0.0009763803107167337,0.9986130374502762,97.42499999995738,4,nan,9.194651459918928,-1.925676055316388,-71.7936975714533,4,9.486110436153455,1.725,0.00211900278931261,0.9960774699710799,71.69999999998078,5,nan,12.04807898834576,-0.029169071123510217,-71.90213793503727,5,0.5,0.35,1.5,716.4902310795233
1.15,0.5,0.5,nan,nan,nan,nan,nan,0,0.763661246143512,-72.67166056243096,-72.67230285383155,-75.4950409295159,0,nan,nan,nan,nan,nan,0,nan,-72.44322537448878,-72.44391188033893,-72.41788516377498,0,11.734778210714333,1.645833333333087,0.00467428043015221,0.9881605544364802,57.52499999999367,6,nan,15.958550602933906,2.363064125285634,-72.06640652163253,6,11.88001720801808,1.6249999999997538,0.006109571740569964,0.9844458846412799,47.35000000000292,6,nan,17.66034473587669,3.5066702606204405,-71.88710669646407,6,5.78422767146943,1.6874999999984652,nan,nan,162.0499999998986,2,nan,6.005316729375858,-4.31426870572537,-65.38323935390703,2,9.558891811083395,1.6750000000003809,0.002347025846611081,0.9948514851508917,100.49999999995458,4,nan,10.71951221973333,-1.124720038752511,-71.8427658116911,4,11.176234150383014,1.65,0.0036401802662343148,0.9913387775331383,73.17499999997943,5,nan,13.739214216173455,0.886537214819085,-71.52725809691468,5,0.25,0.35,0.75,716.1530746712705
1.25,1.0,0.75,nan,nan,nan,nan,nan,0,0.7589096079676836,-72.64134360742631,-72.64204769739818,-75.4178591242072,0,nan,nan,nan,nan,nan,0,nan,-72.35622558129825,-72.35699021433639,-72.32430336233563,0,14.555293594872133,1.5374999999997574,0.002056202879795376,1.0034295513046376,56.374999999994714,6,nan,18.056677914748057,3.637775964866438,-72.95863511660698,6,14.917256184805055,1.5291666666664316,0.002168115492226772,0.9980676328514886,46.37500000000381,6,nan,19.70440959110372,4.760101462076402,-66.87459320843952,6,5.778565163049665,1.562499999998579,nan,nan,166.94999999989415,2,nan,6.219280346968438,-4.563587995665017,-66.75382178973977,2,11.7359941465795,1.5687500000003354,0.001269572933092122,1.0030822577564988,99.02499999995592,4,nan,12.780833295604676,0.04632518292773125,-72.81131486140826,4,13.722537536568723,1.55,0.0021345957303877455,1.0051119766341305,71.77499999998071,5,nan,15.885130455230591,2.159469480490286,-72.73637697339343,5,1.5,0.65,0.75,707.5140157629603
1.25,0.5,1.0,nan,nan,nan,nan,nan,0,0.7632917558344076,-72.65501655080463,-72.65571806375657,-75.47573884032532,0,nan,nan,nan,nan,nan,0,nan,-72.39419198898713,-72.39494865477243,-72.36472937656286,0,14.489312780665633,1.5666666666664166,0.001517450079317684,1.0011353959737066,56.274999999994805,6,nan,18.128129411469082,3.717397640210522,-72.85795946834952,6,14.776896245208738,1.5708333333330984,0.003372845197724539,0.9926728257420805,46.325000000003854,6,nan,19.742684633345455,4.819912431496034,-66.7131644584974,6,7.991072152625461,1.624999999998522,nan,nan,158.9749999999014,2,nan,8.216854408636259,-3.0084191013303334,-65.86732344564052,2,12.024080538109596,1.593750000000341,0.003175945451654486,1.0077821011699053,98.12499999995674,4,nan,13.079998407088166,0.3214450371435176,-72.74718248198378,4,13.764475479888555,1.5900000000000092,0.002796704151358539,1.0070508144938342,71.49999999998096,5,nan,16.00169940229876,2.291927107666838,-72.8176856354818,5,0.5,0.5,0.75,700.8350267068506
1.25,0.75,1.0,nan,nan,nan,nan,nan,0,0.7608454506603379,-72.6289548217569,-72.62966134098397,-75.42609090552166,0,nan,nan,nan,nan,nan,0,nan,-72.31784684202964,-72.31861967868667,-72.28195044200669,0,14.706702531271516,1.5625000000000095,0.0030085884637742486,1.007062146897165,55.69999999999533,6,nan,18.28395253069544,3.8476484340805897,-73.00332449237683,5,15.057570901589662,1.5624999999997726,0.002115289295162101,0.9977805960700394,45.92500000000422,6,nan,19.866203585685934,4.928929378492782,-67.21076549935317,6,8.354275574498534,1.5999999999985448,nan,nan,155.7749999999043,2,nan,8.589496775909065,-2.7488495628023446,-65.84582985576682,2,12.27352911649594,1.6000000000003638,0.005349016792439539,1.013022351800454,96.69999999995804,4,nan,13.33473524191306,0.5152130300823352,-72.91943104300147,4,13.99481288573979,1.5899999999999863,0.005253349111154443,1.0138148327710987,70.67499999998171,5,nan,16.205002532734504,2.4464066010054917,-73.10239091353799,5,0.75,0.55,1.0,699.3246337479105
1.25,1.0,1.25,nan,nan,nan,nan,nan,0,0.758333977296202,-72.61232608719023,-72.61303578568136,-75.38468851387145,0,nan,nan,nan,nan,nan,0,nan,-72.26913812192912,-72.26992135127928,-72.22928409803468,0,14.897156039787248,1.5583333333330909,0.001396475337611012,0.9977362761786464,55.624999999995396,6,nan,18.283157797410272,3.828057700555407,-72.99216329001938,6,15.249570770859014,1.5374999999997574,0.003853962510650441,0.9904519414399398,45.850000000004286,6,nan,19.873030850090085,4.915945591034023,-66.67578479883103,6,7.690135625337939,1.5749999999985675,nan,nan,157.67499999990258,2,nan,7.969670920142231,-3.2594616459748296,-66.08944848432589,2,12.251555742681278,1.5750000000003581,0.0021337468440942825,1.0052113491630037,96.69999999995804,4,nan,13.259735269347988,0.4269357501525281,-72.91739507759198,4,14.098025428662037,1.565000000000009,0.001376690927203197,1.0033865505595592,70.5749999999818,5,nan,16.190909348489285,2.412740598400945,-72.9299798821941,5,0.25,0.65,1.0,698.3092741705632
