current_na,time_ms,soma_mv,proximal_axon_mv,proximal_dendrite_mv
-0.02,17.999999999999513,-60.032594899480536,-60.024251912234966,-60.03309052900853
-0.02,18.099999999999508,-60.03264713118685,-60.024303914421736,-60.03314277490979
-0.02,18.199999999999502,-60.03269847762591,-60.02435502946919,-60.03319413564995
-0.02,18.299999999999496,-60.032748949782054,-60.024405268416274,-60.03324462221016
-0.02,18.39999999999949,-60.0327985585264,-60.02445464218792,-60.0332942454584
-0.02,18.499999999999485,-60.03284731461783,-60.02450316159599,-60.03334301615043
-0.02,18.59999999999948,-60.03289522870395,-60.02455083734029,-60.03339094493081
-0.02,18.699999999999473,-60.03294231132205,-60.02459768000957,-60.03343804233383
-0.02,18.799999999999468,-60.032988572900095,-60.02464370008242,-60.03348431878448
-0.02,18.899999999999462,-60.03303402375766,-60.024688907928315,-60.033529784599416
-0.02,18.999999999999456,-60.03307867410686,-60.024733313808504,-60.0335744499879
-0.02,19.09999999999945,-60.03312253405334,-60.02477692787702,-60.03361832505272
-0.02,19.199999999999445,-60.03316561359716,-60.02481976018158,-60.03366141979117
-0.02,19.29999999999944,-60.03320792263376,-60.024861820664526,-60.03370374409594
-0.02,19.399999999999434,-60.03324947095485,-60.024903119163795,-60.03374530775602
-0.02,19.499999999999428,-60.033290268249345,-60.024943665413794,-60.0337861204577
-0.02,19.599999999999422,-60.033330324104284,-60.02498346904633,-60.033826191785366
-0.02,19.699999999999417,-60.0333696480057,-60.02502253959157,-60.033865531222496
-0.02,19.79999999999941,-60.03340824933955,-60.025060886478855,-60.0339041481525
-0.02,19.899999999999405,-60.03344613739259,-60.025098519037684,-60.03394205185963
-0.02,19.9999999999994,-60.03348332135324,-60.025135446498545,-60.03397925152988
-0.02,20.099999999999394,-60.033519810312505,-60.02517167799385,-60.0340157562518
-0.02,20.199999999999388,-60.03355561326482,-60.025207222558784,-60.03405157501745
-0.02,20.299999999999383,-60.0335907391089,-60.02524208913216,-60.034086716723216
-0.02,20.399999999999377,-60.033625196648636,-60.02527628655735,-60.03412119017068
-0.02,20.49999999999937,-60.033658994593914,-60.02530982358307,-60.03415500406745
-0.02,20.599999999999365,-60.03369214156148,-60.025342708864294,-60.03418816702805
-0.02,20.69999999999936,-60.033724646075775,-60.02537495096307,-60.03422068757472
-0.02,20.799999999999354,-60.03375651656978,-60.02540655834936,-60.03425257413827
-0.02,20.89999999999935,-60.03378776138582,-60.02543753940189,-60.03428383505892
-0.02,20.999999999999343,-60.0338183887764,-60.025467902409,-60.034314478587085
-0.02,21.099999999999337,-60.033848406905044,-60.025497655569396,-60.03434451288422
-0.02,21.19999999999933,-60.03387782384706,-60.02552680699305,-60.034373946023614
-0.02,21.299999999999326,-60.03390664759038,-60.025555364701965,-60.03440278599121
-0.02,21.39999999999932,-60.033934886036334,-60.02558333663099,-60.03443104068639
-0.02,21.499999999999314,-60.03396254700048,-60.02561073062862,-60.03445871792278
