grid,soma_BNa,KDR_scale,valid,reject_reason,RMP_mV,Rin_GOhm,rheobase_pA,overshoot_mV,half_width_ms,amplitude_mV,total_ap_error,overshoot_err,half_width_err,amplitude_err
refinement,0.04,1.6,True,,-72.42995555396014,0.8907475489813933,40,28.37162054293336,1.5499999999985903,70.92221097774721,1.5185185185132983,0.0,1.5185185185132983,0.0
refinement,0.04,2.0,True,,-72.43381570783832,0.8903992157422721,40,27.958160871525756,1.4499999999986812,70.2635695740245,1.1481481481432645,0.0,1.1481481481432645,0.0
refinement,0.04,2.5,True,,-72.43863045772251,0.88996466508314,40,27.34740216265006,1.3999999999987267,69.58826545991737,1.0144297804685771,0.0,0.9629629629582478,0.05146681751032922
refinement,0.05,0.9,True,,-72.39692723629314,0.8933522389306902,20,29.992414395213242,1.6749999999984766,72.40982515677558,1.9814814814758404,0.0,1.9814814814758404,0.0
refinement,0.05,1.2,True,,-72.39986547406117,0.8930874857848181,20,29.333042618649166,1.5749999999985675,71.64517261674065,1.6111111111058067,0.0,1.6111111111058067,0.0
refinement,0.05,1.6,True,,-72.40377636596824,0.892735039489277,20,27.83207579022691,1.4749999999986585,69.77420336954793,1.2689653195422812,0.0,1.240740740735773,0.028224578806508305
refinement,0.05,2.0,True,,-72.40767957260914,0.8923832279234191,40,31.948536662874705,1.424999999998704,74.93666482780905,1.1334970220657443,0.0779414665149882,1.055555555550756,0.0
refinement,0.05,2.5,True,,-72.41254783796947,0.8919443512535636,40,31.54407649581316,1.3499999999987722,74.47870119609571,0.8395408376057575,0.061763059832526467,0.777777777773231,0.0
refinement,0.06,0.9,True,,-72.37041063835346,0.8953656767539513,20,33.35030337989134,1.624999999998522,76.24243305666793,1.9303084314864773,0.13401213519565375,1.7962962962908235,0.0
refinement,0.06,1.2,True,,-72.37338222568195,0.8950982420788989,20,32.92346163071612,1.4999999999986358,75.70068172565556,1.450271798556926,0.11693846522864476,1.3333333333282813,0.0
refinement,0.06,1.6,True,,-72.37733739891307,0.8947422335046881,20,32.163188016825,1.3999999999987267,74.77584912835277,1.049490483631248,0.08652752067300014,0.9629629629582478,0.0
refinement,0.06,2.0,True,,-72.38128467516403,0.8943868747288505,20,30.81472007436068,1.3499999999987722,73.15444651940987,0.8103665807476581,0.03258880297442715,0.777777777773231,0.0
refinement,0.06,2.5,True,,-72.38620772891703,0.8939435854049691,40,34.78017688514217,1.2749999999988404,78.21016018237094,0.7174770981977602,0.19120707540568674,0.4999999999957057,0.026270022796367698
